step,L_uH,r_1_mOhm,C_uF,r_C_mOhm,avg_vout,ripple_vout,std_vout,min_vout,max_vout,delta_avg_vout,delta_ripple_vout,delta_std_vout,health_index,RUL,is_anomaly,label,fault_type,sim_success,healthy_avg_vout,healthy_ripple_vout,healthy_std_vout
1,0.4999749949995,5.00150030003,199.9799959996,3.00150030003,3.6496143565874,0.142953952907016,0.031018676465931,3.59285850611626,3.73581245902328,-2.53020858620445e-05,-2.49108173333568e-05,-5.21770344057149e-06,0.000333400006667373,49,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
2,0.499974989998,5.00150060012002,199.9799919984,3.00150060012002,3.64961435152687,0.142953947921489,0.0310186754227226,3.59285850096838,3.73581244888987,-2.53071463873766e-05,-2.49158028600149e-05,-5.21874664903901e-06,0.000333466693336892,48,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
3,0.499974984995499,5.00150090027005,199.979987996399,3.00150090027005,3.64961434646533,0.142953942934521,0.0310186743793052,3.59285849581956,3.73581243875408,-2.5312207924344e-05,-2.49207898281867e-05,-5.21979006637072e-06,0.000333533393345187,47,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
4,0.499974979991998,5.00150120048013,199.979983993598,3.00150120048013,3.64961434140283,0.142953937947996,0.0310186733356889,3.59285849066895,3.73581242861694,-2.53172704232085e-05,-2.49257763531574e-05,-5.2208336827099e-06,0.000333600106695142,46,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
5,0.499974974987496,5.00150150075025,199.979979989997,3.00150150075025,3.64961433633926,0.142953932958508,0.0310186722918708,3.59285848551839,3.7358124184769,-2.53223339998776e-05,-2.49307658415354e-05,-5.22187750076966e-06,0.000333666833388757,45,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
6,0.499974969981993,5.00150180108043,199.979975985594,3.00150180108043,3.64961433127472,0.142953927969633,0.0310186712478673,3.59285848036591,3.73581240833555,-2.53273985384439e-05,-2.49357547157381e-05,-5.22292150429565e-06,0.000333733573429029,44,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
7,0.499974964975489,5.00150210147069,199.979971980391,3.00150210147069,3.64961432620911,0.14295392297847,0.0310186702035885,3.5928584752129,3.73581239819137,-2.53324641459329e-05,-2.49407458792206e-05,-5.22396578311185e-06,0.000333800326818956,43,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
8,0.499974959967983,5.00150240192102,199.979967974386,3.00150240192102,3.64961432114256,0.142953917986715,0.031018669159098,3.59285847005875,3.73581238804547,-2.53375307011083e-05,-2.49457376337858e-05,-5.22501027359207e-06,0.000333867093560869,42,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
9,0.499974954959476,5.00150270243146,199.979963967581,3.00150270243146,3.64961431607491,0.142953912994233,0.0310186681145227,3.59285846490341,3.73581237789764,-2.53425983447464e-05,-2.49507301157692e-05,-5.22605484893149e-06,0.000333933873657322,41,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
10,0.499974949949967,5.001503003002,199.979959959973,3.001503003002,3.6496143110063,0.1429539080009,0.0310186670696345,3.592858459747,3.73581236774789,-2.53476669560548e-05,-2.49557234495157e-05,-5.22709973707972e-06,0.000334000667111312,40,0,degrading,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
